"filename", "language", "C#", "XML", "JSON", "HTML", "JavaScript", "JSON with Comments", "TypeScript", "Markdown", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\src\lib\api\agent.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 1, 12, 69
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\src\lib\schemas\activitySchema.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 2, 19
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\src\lib\schemas\loginSchema.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\src\lib\schemas\registerSchema.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\src\lib\stores\couterStore.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 6, 10, 38
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\src\lib\stores\store.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 3, 15
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\src\lib\stores\uiStore.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 4, 17
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\src\lib\types\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 6, 63
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\src\lib\util\util.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 5, 13
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 3, 33
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\tsconfig.app.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 2, 3, 28
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\tsconfig.node.json", "JSON", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 2, 3, 26
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\vite.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 1, 11
"c:\Users\mateu\Desktop\CommunityApp\out\linecounter.json", "JSON", 0, 0, 3144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3144
"Total", "-", 2976, 73, 10434, 13, 22, 7, 394, 58, 1334, 4, 52, 1091, 16458
